Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 12:13:16.044987,-213.125,-125.875,265.25,1021,866,14654,-1798,-8902,-136,28.91,1009.39,86.63133902503392,12.066540609479546,160.99200353598144
2021-10-23 12:13:16.346534,-293.875,-122.0,237.125,9515,-98,13031,264,6886,379,28.92,1009.41,81.90102964410485,-7.795585642334915,164.80434631698034
2021-10-23 12:13:16.647060,-336.375,-147.125,106.875,-11589,-795,5391,-745,5613,-1111,28.92,1009.4,76.99136934751327,-9.049036856183712,166.07174120055035
2021-10-23 12:13:16.948009,-315.5,-147.0,64.75,-18478,-3785,1463,-846,3016,328,28.94,1009.42,68.96812443700554,-4.734194628471531,169.32061205054288
2021-10-23 12:13:17.248892,-258.625,-111.125,32.375,-15776,-1471,-7142,-997,3785,541,28.97,1009.4,60.85476375141452,-0.31473170966078506,171.2204529893207
2021-10-23 12:13:17.550057,-184.5,-96.375,16.125,-7646,2862,-12330,-398,65,222,29.03,1009.39,53.9884805171206,5.239505830078563,170.3012238496242
2021-10-23 12:13:17.851733,-109.0,-91.5,140.625,8017,3467,-10902,-2078,7313,356,29.0,1009.39,54.41433607866022,-15.53480198700812,168.03400992850584
2021-10-23 12:13:18.153371,-167.0,-103.75,254.75,13605,-162,5810,309,7808,844,28.98,1009.42,57.92844590811738,-41.269832800752596,167.01116824451447
2021-10-23 12:13:18.454595,-251.625,-106.375,258.875,5591,1463,14013,-1147,2319,-262,28.93,1009.41,66.21814421911658,-54.737622416756786,155.92928951397124
2021-10-23 12:13:18.755469,-330.125,-140.75,177.125,-9221,-2112,16641,-1309,7919,49,28.9,1009.39,91.41734346793562,-68.83388007349278,129.4238687270399
2021-10-23 12:13:19.055974,-298.875,-128.125,57.5,-13856,2957,4402,-413,5341,-904,28.91,1009.4,119.79674886615574,-65.52795182399208,101.01152421412866
2021-10-23 12:13:19.356641,-192.625,-128.0,17.25,-11755,3147,-11083,-1022,5383,554,28.96,1009.41,119.26142052190163,-59.49697156487607,103.98694407919658
2021-10-23 12:13:19.657185,-123.125,-126.5,79.0,4615,414,-15678,112,2897,-1817,28.96,1009.43,104.066552908458,-54.03540346680162,127.07525097296143
2021-10-23 12:13:19.957781,-116.125,-103.125,204.625,15932,2263,-7330,-1632,5965,-815,28.94,1009.42,101.70596567674318,-58.77446771132355,136.5835142153878
2021-10-23 12:13:20.258720,-176.25,-127.375,260.375,12946,-230,11464,-1465,3901,-559,28.92,1009.43,113.25912287117418,-68.43408247026025,127.83887328735317
2021-10-23 12:13:20.561127,-272.0,-137.75,262.5,4451,-2068,16835,-1128,3398,125,28.95,1009.43,139.46567064175565,-77.25333558130207,103.51010005696159
