Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 12:19:19.617532,-289.25,-24580.375,207.25,281,9996,13403,-2065,665,-365,29.49,1009.43,-66.90446232078376,54.112571967862955,51.797356836129254
2021-10-23 12:19:19.918273,-285.0,-24577.375,87.75,-187,17394,126,401,-712,-238,29.47,1009.48,-58.84971243859732,44.03437153884456,59.119809857969095
2021-10-23 12:19:20.219090,-290.25,-42.625,37.125,27,11550,-11366,-2504,-561,-468,29.45,1009.45,-40.6004737789018,43.50613710045956,75.71799938343806
2021-10-23 12:19:20.521593,-294.875,-19.25,63.625,-876,10193,-12093,-6223,-479,-591,29.44,1009.47,-27.122318110635135,41.634720567522585,83.578190718229
2021-10-23 12:19:20.823113,-267.625,13.125,110.875,1843,11817,-9913,-8702,-1373,1942,29.44,1009.43,-22.645263204670112,31.701881505142183,80.59288712127926
2021-10-23 12:19:21.124530,-257.375,-8201.375,226.25,2756,15242,1314,-10342,3026,405,29.43,1009.46,-16.921712252875697,23.498986937215907,69.77936519270841
2021-10-23 12:19:21.425973,-268.25,-51.625,263.25,2475,10170,11256,-8553,2410,-666,29.41,1009.44,-21.778230240578594,17.92852227320504,51.82675928772975
2021-10-23 12:19:21.726488,-284.0,-143.5,284.625,-843,530,15765,-9671,1711,-254,29.41,1009.44,-29.148290547489697,16.917136640586936,27.517016595370283
2021-10-23 12:19:22.027054,-302.0,-247.625,211.0,-3430,-8788,13311,-13145,1443,-3113,29.42,1009.47,-43.62185303638999,20.302183824289365,-7.43451666543045
2021-10-23 12:19:22.327663,-295.75,-260.625,105.375,-3480,-15798,-2030,-9826,104,-909,29.43,1009.47,-53.226097481993925,20.907830698285164,-37.99945767171747
2021-10-23 12:19:22.628583,-260.0,-247.875,29.75,-464,-11884,-11362,-7269,2367,-2090,29.43,1009.45,-63.97783973833924,20.459731576325325,-65.4992075957861
2021-10-23 12:19:22.929970,-238.0,-135.0,-14.125,1802,-9683,-15846,-12859,2754,-1275,29.46,1009.49,-68.71020552011416,17.811439553435346,-97.81136864989331
2021-10-23 12:19:23.231043,-271.25,-16.0,61.5,4003,8806,-13937,-11328,-685,-1940,29.47,1009.48,-57.35549695168653,15.837015457715529,-121.84337879743157
2021-10-23 12:19:23.532435,-297.875,-16391.375,170.0,-741,15685,1152,-12076,942,-3836,29.47,1009.48,-52.85655891670826,8.68779034388306,-134.9691812971365
2021-10-23 12:19:23.833937,-280.0,-59.75,256.875,-1681,10794,13778,-8996,-680,-122,29.45,1009.48,-40.215207728409666,12.706385929161474,-150.7924826075725
2021-10-23 12:19:24.135273,-297.0,-176.0,270.375,88,2276,15687,-10293,2004,1028,29.46,1009.47,-30.26645036895966,14.361722265781754,-165.22545020006945
2021-10-23 12:19:24.436669,-318.375,-255.375,136.5,-4020,-14357,6693,-11956,2344,-1091,29.46,1009.49,-14.79705540266865,14.922310831690112,-169.87976493747678
2021-10-23 12:19:24.737506,-285.75,-242.25,31.625,-3884,-13579,-8963,-8215,209,-1223,29.46,1009.47,-0.2276251920177979,14.565689108452812,-169.84913274025092
